FIPS,COUNTY,ST_ABBR,CODE2023,E_TOTPOP,RPL_THEMES,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,MOBILITY
01001,Autauga County,AL,3.0,58761,0.2663,20.2,2.8,19.7,9.6,7.4,15.6,23.4,16.4,5.6,0.4,27.4,3.9,15.6,1.4,4.0,0.9,0.36166623
01003,Baldwin County,AL,4.0,233420,0.3487,18.3,3.4,23.2,8.4,9.3,21.2,21.2,13.9,4.2,0.8,17.7,16.6,10.2,1.9,2.3,1.5,0.38884708
01005,Barbour County,AL,5.0,24877,0.9927,37.7,5.8,25.1,23.5,10.7,19.8,20.7,18.1,11.3,2.0,55.4,1.4,29.2,3.8,11.7,12.0,0.34938559
01007,Bibb County,AL,2.0,22251,0.8451,29.0,8.7,23.2,21.1,8.4,16.8,21.2,19.6,7.2,0.3,25.8,2.7,30.6,1.3,7.5,6.4,0.36339074
01009,Blount County,AL,2.0,59077,0.6166,22.9,6.0,19.4,18.2,10.2,18.3,23.0,17.0,5.3,2.2,14.3,0.9,23.9,2.3,4.8,1.0,0.39187884
01011,Bullock County,AL,6.0,10328,0.8985,47.4,3.7,23.3,26.6,12.2,16.6,21.1,11.2,16.3,1.8,79.4,4.1,42.4,0.8,10.4,7.1,0.34565896
01013,Butler County,AL,6.0,18981,0.6872,33.8,6.8,22.5,12.4,11.0,21.2,22.3,16.2,7.2,0.1,49.1,0.8,21.5,0.6,5.0,1.8,0.35724857
01015,Calhoun County,AL,4.0,116162,0.8145,28.7,6.9,23.0,14.9,10.8,17.9,21.2,20.2,6.9,0.5,29.5,3.7,14.6,1.7,5.6,3.2,0.36184675
01017,Chambers County,AL,5.0,34612,0.8295,28.8,3.6,23.1,16.5,10.8,19.7,20.8,20.8,5.6,0.3,45.7,7.2,13.6,5.3,7.0,1.8,0.34057492
01019,Cherokee County,AL,6.0,25069,0.406,25.6,4.0,19.9,18.1,10.2,23.2,18.9,20.3,4.6,0.9,9.3,1.2,26.9,0.7,3.2,1.2,0.36542159
01021,Chilton County,AL,2.0,45140,0.5336,22.8,5.3,16.0,17.8,11.5,16.8,23.7,19.4,3.8,2.1,20.9,0.5,30.6,2.6,3.3,1.0,0.38805655
01023,Choctaw County,AL,6.0,12669,0.6548,31.9,5.2,19.3,17.6,8.2,23.3,19.9,23.6,6.5,0.3,43.5,0.9,33.4,0.6,5.7,1.3,0.3969731
01025,Clarke County,AL,6.0,23058,0.8365,29.7,12.5,20.0,18.6,9.5,20.4,22.0,19.6,7.8,0.1,48.8,1.4,25.2,1.4,10.6,1.6,0.38430709
01027,Clay County,AL,6.0,14209,0.6223,29.1,5.7,20.6,16.7,8.1,20.8,20.5,19.6,5.6,0.0,19.9,0.7,23.9,2.1,6.4,1.8,0.40678033
01029,Cleburne County,AL,6.0,15144,0.5196,27.7,2.6,17.8,17.5,10.1,19.6,22.8,21.4,4.9,0.4,7.8,0.3,31.5,2.6,6.8,1.1,0.4124786
01031,Coffee County,AL,5.0,53559,0.6802,26.2,4.8,20.6,13.4,10.9,17.1,23.7,18.3,8.8,1.7,31.2,1.6,13.3,2.0,4.0,1.3,0.38671088
01033,Colbert County,AL,4.0,57270,0.4467,23.1,3.4,22.9,13.6,7.9,20.0,20.9,17.3,6.3,0.9,22.3,3.1,8.4,1.4,4.7,0.9,0.3732456
01035,Conecuh County,AL,6.0,11576,0.5122,38.6,4.4,17.9,10.6,8.6,23.4,20.5,20.9,5.6,0.0,50.3,1.3,26.0,0.7,7.0,0.5,0.36797199
01037,Coosa County,AL,5.0,10329,0.4808,22.2,4.4,15.3,16.5,6.2,24.4,16.1,25.6,4.7,0.0,35.8,0.1,30.0,3.7,3.8,3.5,0.35266301
