FIPS,COUNTY,ST_ABBR,CODE2023,E_TOTPOP,RPL_THEMES,MOBILITY,pred,residual,cluster
01001,Autauga County,AL,3.0,58761,0.2663,0.36166623,0.422404,-0.060738,3
01003,Baldwin County,AL,4.0,233420,0.3487,0.38884708,0.440632,-0.051785,1
01005,Barbour County,AL,5.0,24877,0.9927,0.34938559,0.356281,-0.006896,0
01007,Bibb County,AL,2.0,22251,0.8451,0.36339074,0.386076,-0.022685,0
01009,Blount County,AL,2.0,59077,0.6166,0.39187884,0.398245,-0.006366,0
01011,Bullock County,AL,6.0,10328,0.8985,0.34565896,0.357233,-0.011574,0
01013,Butler County,AL,6.0,18981,0.6872,0.35724857,0.373902,-0.016654,0
01015,Calhoun County,AL,4.0,116162,0.8145,0.36184675,0.369827,-0.007981,0
01017,Chambers County,AL,5.0,34612,0.8295,0.34057492,0.39397,-0.053395,0
01019,Cherokee County,AL,6.0,25069,0.406,0.36542159,0.389602,-0.02418,0
01021,Chilton County,AL,2.0,45140,0.5336,0.38805655,0.429558,-0.041501,0
01023,Choctaw County,AL,6.0,12669,0.6548,0.3969731,0.381953,0.01502,0
01025,Clarke County,AL,6.0,23058,0.8365,0.38430709,0.364487,0.01982,0
01027,Clay County,AL,6.0,14209,0.6223,0.40678033,0.388876,0.017905,0
01029,Cleburne County,AL,6.0,15144,0.5196,0.4124786,0.411805,0.000674,0
01031,Coffee County,AL,5.0,53559,0.6802,0.38671088,0.382675,0.004036,0
01033,Colbert County,AL,4.0,57270,0.4467,0.3732456,0.401332,-0.028086,3
01035,Conecuh County,AL,6.0,11576,0.5122,0.36797199,0.394334,-0.026362,0
01037,Coosa County,AL,5.0,10329,0.4808,0.35266301,0.414325,-0.061662,0
01039,Covington County,AL,6.0,37542,0.7121,0.4055416,0.38308,0.022461,0
01041,Crenshaw County,AL,6.0,13205,0.685,0.40949893,0.393366,0.016133,0
01043,Cullman County,AL,5.0,88284,0.4909,0.40455472,0.396384,0.008171,0
01045,Dale County,AL,5.0,49455,0.7766,0.38080323,0.382794,-0.001991,0
01047,Dallas County,AL,5.0,38326,0.9189,0.33595914,0.336548,-0.000589,0
01049,DeKalb County,AL,5.0,71680,0.756,0.39647737,0.413165,-0.016687,0
01051,Elmore County,AL,3.0,87694,0.4397,0.37799388,0.395674,-0.01768,3
01053,Escambia County,AL,6.0,36755,0.8473,0.3677946,0.3816,-0.013805,0
01055,Etowah County,AL,4.0,103348,0.672,0.36484614,0.377791,-0.012945,0
01057,Fayette County,AL,6.0,16297,0.7458,0.40141243,0.396407,0.005006,0
01059,Franklin County,AL,5.0,32011,0.7576,0.40572405,0.435537,-0.029813,0
01061,Geneva County,AL,4.0,26647,0.5822,0.39071053,0.394985,-0.004275,0
01063,Greene County,AL,3.0,7706,0.9157,0.3280988,0.357748,-0.029649,0
01065,Hale County,AL,3.0,14742,0.8826,0.35585302,0.388783,-0.03293,0
01067,Henry County,AL,4.0,17282,0.6195,0.35838878,0.384408,-0.02602,0
01069,Houston County,AL,4.0,107040,0.7175,0.35789412,0.377516,-0.019621,0
01071,Jackson County,AL,5.0,52618,0.7194,0.39407125,0.377654,0.016418,0
01073,Jefferson County,AL,2.0,672265,0.7251,0.34393278,0.358444,-0.014511,1
01075,Lamar County,AL,6.0,13885,0.4731,0.42915851,0.394271,0.034888,0
01077,Lauderdale County,AL,4.0,94329,0.4919,0.3963314,0.408638,-0.012307,3
01079,Lawrence County,AL,4.0,33116,0.3624,0.38764086,0.408159,-0.020518,0
01081,Lee County,AL,4.0,175126,0.6446,0.36433998,0.388521,-0.024181,1
01083,Limestone County,AL,3.0,104199,0.3233,0.36662039,0.407929,-0.041308,3
01085,Lowndes County,AL,3.0,10153,0.9042,0.329528,0.338302,-0.008774,0
01087,Macon County,AL,4.0,19198,0.9656,0.3151837,0.333989,-0.018805,0
01089,Madison County,AL,3.0,389781,0.3509,0.36340868,0.385732,-0.022323,1
01091,Marengo County,AL,6.0,19180,0.6691,0.37045205,0.404041,-0.033589,0
01093,Marion County,AL,6.0,29203,0.6946,0.39463562,0.386955,0.00768,0
01095,Marshall County,AL,5.0,97923,0.6201,0.38712749,0.427643,-0.040515,0
01097,Mobile County,AL,3.0,413878,0.8304,0.35896039,0.361222,-0.002261,1
01099,Monroe County,AL,6.0,19816,0.7416,0.36833104,0.377804,-0.009473,0
01101,Montgomery County,AL,3.0,228132,0.929,0.32733279,0.342558,-0.015225,1
01103,Morgan County,AL,4.0,123102,0.6787,0.36942601,0.40422,-0.034794,0
01105,Perry County,AL,6.0,8479,0.9214,0.33660656,0.348722,-0.012115,0
01107,Pickens County,AL,3.0,18925,0.8918,0.36965418,0.37351,-0.003856,0
01109,Pike County,AL,5.0,32997,0.8002,0.36580148,0.365106,0.000695,0
01111,Randolph County,AL,6.0,22179,0.559,0.37275833,0.398608,-0.02585,0
01113,Russell County,AL,3.0,58849,0.8963,0.331193,0.340755,-0.009562,0
01115,St. Clair County,AL,2.0,91719,0.2587,0.39964822,0.402535,-0.002887,3
01117,Shelby County,AL,2.0,223916,0.1238,0.41377839,0.439659,-0.025881,3
01119,Sumter County,AL,6.0,12196,0.9255,0.34428778,0.346779,-0.002491,0
01121,Talladega County,AL,5.0,81105,0.908,0.35622436,0.374831,-0.018606,0
01123,Tallapoosa County,AL,5.0,41251,0.8692,0.3650265,0.393178,-0.028152,0
01125,Tuscaloosa County,AL,3.0,231558,0.651,0.35644168,0.374285,-0.017844,1
01127,Walker County,AL,2.0,64978,0.6398,0.37566268,0.389268,-0.013605,0
01129,Washington County,AL,6.0,15434,0.3217,0.41849449,0.415275,0.003219,0
01131,Wilcox County,AL,6.0,10441,0.9819,0.3492828,0.351989,-0.002707,0
01133,Winston County,AL,6.0,23655,0.6125,0.38814789,0.380307,0.007841,0
02013,Aleutians East Borough,AK,6.0,3407,0.7754,0.34843248,0.468416,-0.119983,2
02016,Aleutians West Census Area,AK,6.0,5219,0.5033,0.34952685,0.486084,-0.136557,2
02020,Anchorage Municipality,AK,3.0,290674,0.6052,0.39022613,0.42328,-0.033053,1
02050,Bethel Census Area,AK,6.0,18538,0.9424,0.24522647,0.369484,-0.124258,2
02060,Bristol Bay Borough,AK,6.0,854,0.2332,0.30094439,0.493381,-0.192436,3
02068,Denali Borough,AK,6.0,2101,0.0353,0.31032866,0.508487,-0.198158,3
02070,Dillingham Census Area,AK,6.0,4854,0.8931,0.30598083,0.395047,-0.089066,2
02090,Fairbanks North Star Borough,AK,4.0,96299,0.4925,0.39939216,0.426757,-0.027365,1
02100,Haines Borough,AK,6.0,2079,0.4594,0.4371523,0.499982,-0.06283,3
02105,Hoonah-Angoon Census Area,AK,6.0,2329,0.6376,0.23737538,0.451209,-0.213834,0
